Idaho,La.-Lafayette
La.-Monroe,S. Alabama
UCF,Tulane
W. Kentucky,FIU
La. Tech,North Texas
Old Dominion,Marshall
San Diego State,Hawaii
Southern Cal,Oregon
Georgia,Kentucky
Tulsa,East Carolina
New Mexico,Nevada
Wyoming,Utah State
W. Michigan,Kent State
Utah,Arizona State
Duke,North Carolina
Florida State,Boston College
Alabama,Mississippi State
Pittsburgh,Clemson
Iowa,Michigan
Southern Cal,Washington
E. Michigan,Ball State
Bowling Green,Akron
La.-Lafayette,Georgia Southern
Ohio State,Maryland
Louisville,Wake Forest
Wisconsin,Illinois
Mississippi,Texas A&M
Georgia,Auburn
Penn State,Indiana
Oklahoma,Baylor
Colorado,Arizona
Oklahoma State,Texas Tech
Georgia Tech,Virginia Tech
West Virginia,Texas
Nebraska,Minnesota
Boise State,Hawaii
Washington State,California
LSU,Arkansas
Florida,South Carolina
Tennessee,Kentucky
UCF,Cincinnati
SMU,East Carolina
Navy,Tulsa
Iowa State,Kansas
Michigan State,Rutgers
Northwestern,Purdue
N.C. State,Syracuse
"Miami, OH",Buffalo
Rice,Charlotte
"Miami, FL",Virginia
La.-Lafayette,Georgia State
Arkansas State,New Mexico State
Missouri,Vanderbilt
Notre Dame,Army
UNLV,Wyoming
La. Tech,UTSA
W. Kentucky,North Texas
Old Dominion,Southern Miss
Troy,Appalachian State
Houston,Tulane
Idaho,Texas State
Stanford,Oregon
FAU,UTEP
Marshall,MTSU
South Florida,Memphis
UCLA,Oregon State
Air Force,Colorado State
New Mexico,Utah State
San Diego State,Nevada
Bowling Green,Kent State
C. Michigan,Ohio
Toledo,Ball State
N. Illinois,E. Michigan
Houston,Louisville
Arkansas State,Troy
Boise State,UNLV
Memphis,Cincinnati
Ohio State,Michigan State
Michigan,Indiana
Clemson,Wake Forest
Washington,Arizona State
Wisconsin,Purdue
Penn State,Rutgers
Oklahoma,West Virginia
Colorado,Washington State
Oklahoma State,TCU
Oregon,Utah
Southern Cal,UCLA
Florida,LSU
Florida State,Syracuse
Nebraska,Maryland
Tennessee,Missouri
W. Michigan,Buffalo
Stanford,California
Texas A&M,UTSA
Kansas State,Baylor
Georgia,La.-Lafayette
Rice,UTEP
Iowa,Illinois
Georgia Tech,Virginia
"Miami, FL",N.C. State
Boston College,Connecticut
MTSU,Charlotte
BYU,Massachusetts
Georgia State,Georgia Southern
Appalachian State,La.-Monroe
Pittsburgh,Duke
Wyoming,San Diego State
Virginia Tech,Notre Dame
Temple,Tulane
Iowa State,Texas Tech
Kansas  ,Texas
Minnesota,Northwestern
Navy,East Carolina
Nevada,Utah State
New Mexico State,Texas State
North Texas,Southern Miss
Old Dominion,FAU
FIU,Marshall
Hawaii,Fresno State
Arkansas,Mississippi State
South Florida,SMU
Vanderbilt,Mississippi
Tulsa,UCF
Colorado State,New Mexico
Oregon State,Arizona
Air Force,San Jose State
Ohio  ,Akron
"Miami, OH",Ball State
E. Michigan,C. Michigan
LSU,Texas A&M
Washington,Washington State
Iowa,Nebraska
Air Force,Boise State
Memphis,Houston
W. Michigan,Toledo
N. Illinois,Kent State
N.C. State,North Carolina
Bowling Green,Buffalo
Missouri,Arkansas
TCU,Texas
Southern Miss,La. Tech
Texas Tech,Baylor
Tulsa,Cincinnati
Arizona  ,Arizona State
Ohio State,Michigan
Kentucky,Louisville
Georgia Tech,Georgia  
Kansas State,Kansas
Maryland,Rutgers
Indiana,Purdue
Northwestern,Illinois
South Florida,UCF
Virginia Tech,Virginia
La.-Lafayette,Arkansas State
Pittsburgh,Syracuse
Alabama,Auburn
Clemson,South Carolina
Wisconsin,Minnesota
Penn State,Michigan State
Colorado,Utah
Southern Cal,Notre Dame
Florida State,Florida
Vanderbilt,Tennessee
West Virginia,Iowa State
Stanford,Rice
Navy,SMU
Boston College,Wake Forest
"Miami, FL",Duke
Old Dominion,FIU
San Jose State,Fresno State
Mississippi State,Mississippi
Idaho,S. Alabama
Troy,Texas State
Appalachian State,New Mexico State
Tulane,Connecticut
Oregon State,Oregon
Nevada,UNLV
UTEP,North Texas
MTSU,FAU
W. Kentucky,Marshall
UTSA,Charlotte
California,UCLA
Temple,East Carolina
Colorado State,San Diego State
New Mexico,Wyoming
BYU,Utah State
Hawaii,Massachusetts
Washington,Colorado
W. Michigan,Ohio
Alabama,Florida
Clemson,Virginia Tech
Penn State,Wisconsin
Oklahoma,Oklahoma State
West Virginia,Baylor
Temple,Navy
Kansas State,TCU
Georgia Southern,Troy
W. Kentucky,La. Tech
S. Alabama,New Mexico State
La.-Lafayette,La.-Monroe
Idaho,Georgia State
Arkansas State,Texas State
San Diego State,Wyoming
Army,Navy
